"Trap.Station.Name","species_lower_case","Total_Detections","Nights","Elephant_Presence","RAI","dist_from_camp_sc","canopy_cover_mean_1000m_buffer"
"Site 1","Kirk's dik-dik",0,70,"No elephant",0,1.23340298455947,2.023631837
"Site 1","Klipspringer",0,70,"No elephant",0,1.23340298455947,2.023631837
"Site 1","Bushpig",0,70,"No elephant",0,1.23340298455947,2.023631837
"Site 1","Eland",1,70,"No elephant",1.42857142857143,1.23340298455947,2.023631837
"Site 1","Bushbuck",0,70,"No elephant",0,1.23340298455947,2.023631837
"Site 1","Plains zebra",0,70,"No elephant",0,1.23340298455947,2.023631837
"Site 1","Impala",7,70,"No elephant",10,1.23340298455947,2.023631837
"Site 1","Warthog",0,70,"No elephant",0,1.23340298455947,2.023631837
"Site 1","Bush duiker",0,70,"No elephant",0,1.23340298455947,2.023631837
"Site 1","Giraffe",0,70,"No elephant",0,1.23340298455947,2.023631837
"Site 1","Greater kudu",0,70,"No elephant",0,1.23340298455947,2.023631837
"Site 11","Kirk's dik-dik",28,140,"Elephant",20,-0.775782779503745,9.608197076
"Site 11","Impala",0,140,"Elephant",0,-0.775782779503745,9.608197076
"Site 11","Greater kudu",2,140,"Elephant",1.42857142857143,-0.775782779503745,9.608197076
"Site 11","Bush duiker",0,140,"Elephant",0,-0.775782779503745,9.608197076
"Site 11","Klipspringer",0,140,"Elephant",0,-0.775782779503745,9.608197076
"Site 11","Bushpig",1,140,"Elephant",0.714285714285714,-0.775782779503745,9.608197076
"Site 11","Bushbuck",9,140,"Elephant",6.42857142857143,-0.775782779503745,9.608197076
"Site 11","Giraffe",0,140,"Elephant",0,-0.775782779503745,9.608197076
"Site 11","Warthog",0,140,"Elephant",0,-0.775782779503745,9.608197076
"Site 11","Eland",0,140,"Elephant",0,-0.775782779503745,9.608197076
"Site 11","Plains zebra",0,140,"Elephant",0,-0.775782779503745,9.608197076
"Site 12","Bushbuck",7,100,"Elephant",7,0.459859316204305,9.206296704
"Site 12","Greater kudu",31,100,"Elephant",31,0.459859316204305,9.206296704
"Site 12","Warthog",7,100,"Elephant",7,0.459859316204305,9.206296704
"Site 12","Giraffe",10,100,"Elephant",10,0.459859316204305,9.206296704
"Site 12","Kirk's dik-dik",38,100,"Elephant",38,0.459859316204305,9.206296704
"Site 12","Impala",16,100,"Elephant",16,0.459859316204305,9.206296704
"Site 12","Eland",0,100,"Elephant",0,0.459859316204305,9.206296704
"Site 12","Klipspringer",4,100,"Elephant",4,0.459859316204305,9.206296704
"Site 12","Bushpig",8,100,"Elephant",8,0.459859316204305,9.206296704
"Site 12","Bush duiker",1,100,"Elephant",1,0.459859316204305,9.206296704
"Site 12","Plains zebra",0,100,"Elephant",0,0.459859316204305,9.206296704
"Site 13","Bushpig",0,69,"No elephant",0,1.22194572655404,6.300933165
"Site 13","Giraffe",0,69,"No elephant",0,1.22194572655404,6.300933165
"Site 13","Plains zebra",0,69,"No elephant",0,1.22194572655404,6.300933165
"Site 13","Bushbuck",1,69,"No elephant",1.44927536231884,1.22194572655404,6.300933165
"Site 13","Bush duiker",5,69,"No elephant",7.2463768115942,1.22194572655404,6.300933165
"Site 13","Eland",0,69,"No elephant",0,1.22194572655404,6.300933165
"Site 13","Greater kudu",0,69,"No elephant",0,1.22194572655404,6.300933165
"Site 13","Kirk's dik-dik",5,69,"No elephant",7.2463768115942,1.22194572655404,6.300933165
"Site 13","Klipspringer",0,69,"No elephant",0,1.22194572655404,6.300933165
"Site 13","Warthog",0,69,"No elephant",0,1.22194572655404,6.300933165
"Site 13","Impala",1,69,"No elephant",1.44927536231884,1.22194572655404,6.300933165
"Site 14","Greater kudu",1,139,"No elephant",0.719424460431655,0.443608013903123,9.796266422
"Site 14","Bush duiker",0,139,"No elephant",0,0.443608013903123,9.796266422
"Site 14","Klipspringer",0,139,"No elephant",0,0.443608013903123,9.796266422
"Site 14","Bushbuck",1,139,"No elephant",0.719424460431655,0.443608013903123,9.796266422
"Site 14","Impala",0,139,"No elephant",0,0.443608013903123,9.796266422
"Site 14","Bushpig",0,139,"No elephant",0,0.443608013903123,9.796266422
"Site 14","Warthog",0,139,"No elephant",0,0.443608013903123,9.796266422
"Site 14","Kirk's dik-dik",62,139,"No elephant",44.6043165467626,0.443608013903123,9.796266422
"Site 14","Giraffe",0,139,"No elephant",0,0.443608013903123,9.796266422
"Site 14","Plains zebra",0,139,"No elephant",0,0.443608013903123,9.796266422
"Site 14","Eland",0,139,"No elephant",0,0.443608013903123,9.796266422
"Site 15","Giraffe",0,139,"No elephant",0,0.451376927441402,7.266562957
"Site 15","Warthog",1,139,"No elephant",0.719424460431655,0.451376927441402,7.266562957
"Site 15","Kirk's dik-dik",7,139,"No elephant",5.03597122302158,0.451376927441402,7.266562957
"Site 15","Klipspringer",0,139,"No elephant",0,0.451376927441402,7.266562957
"Site 15","Bushpig",4,139,"No elephant",2.87769784172662,0.451376927441402,7.266562957
"Site 15","Greater kudu",1,139,"No elephant",0.719424460431655,0.451376927441402,7.266562957
"Site 15","Bushbuck",1,139,"No elephant",0.719424460431655,0.451376927441402,7.266562957
"Site 15","Eland",0,139,"No elephant",0,0.451376927441402,7.266562957
"Site 15","Impala",13,139,"No elephant",9.35251798561151,0.451376927441402,7.266562957
"Site 15","Plains zebra",0,139,"No elephant",0,0.451376927441402,7.266562957
"Site 15","Bush duiker",1,139,"No elephant",0.719424460431655,0.451376927441402,7.266562957
"Site 16","Giraffe",4,140,"Elephant",2.85714285714286,1.25042884342469,11.05288237
"Site 16","Kirk's dik-dik",28,140,"Elephant",20,1.25042884342469,11.05288237
"Site 16","Bushpig",1,140,"Elephant",0.714285714285714,1.25042884342469,11.05288237
"Site 16","Greater kudu",24,140,"Elephant",17.1428571428571,1.25042884342469,11.05288237
"Site 16","Bush duiker",4,140,"Elephant",2.85714285714286,1.25042884342469,11.05288237
"Site 16","Bushbuck",0,140,"Elephant",0,1.25042884342469,11.05288237
"Site 16","Impala",5,140,"Elephant",3.57142857142857,1.25042884342469,11.05288237
"Site 16","Plains zebra",0,140,"Elephant",0,1.25042884342469,11.05288237
"Site 16","Warthog",0,140,"Elephant",0,1.25042884342469,11.05288237
"Site 16","Klipspringer",0,140,"Elephant",0,1.25042884342469,11.05288237
"Site 16","Eland",0,140,"Elephant",0,1.25042884342469,11.05288237
"Site 17","Bush duiker",1,139,"No elephant",0.719424460431655,-1.53292501878227,7.580601201
"Site 17","Kirk's dik-dik",24,139,"No elephant",17.2661870503597,-1.53292501878227,7.580601201
"Site 17","Giraffe",0,139,"No elephant",0,-1.53292501878227,7.580601201
"Site 17","Impala",0,139,"No elephant",0,-1.53292501878227,7.580601201
"Site 17","Eland",0,139,"No elephant",0,-1.53292501878227,7.580601201
"Site 17","Klipspringer",0,139,"No elephant",0,-1.53292501878227,7.580601201
"Site 17","Plains zebra",0,139,"No elephant",0,-1.53292501878227,7.580601201
"Site 17","Bushpig",1,139,"No elephant",0.719424460431655,-1.53292501878227,7.580601201
"Site 17","Greater kudu",2,139,"No elephant",1.43884892086331,-1.53292501878227,7.580601201
"Site 17","Bushbuck",0,139,"No elephant",0,-1.53292501878227,7.580601201
"Site 17","Warthog",0,139,"No elephant",0,-1.53292501878227,7.580601201
"Site 18","Giraffe",0,139,"No elephant",0,-1.49336273630299,9.045816261
"Site 18","Bush duiker",1,139,"No elephant",0.719424460431655,-1.49336273630299,9.045816261
"Site 18","Kirk's dik-dik",13,139,"No elephant",9.35251798561151,-1.49336273630299,9.045816261
"Site 18","Klipspringer",0,139,"No elephant",0,-1.49336273630299,9.045816261
"Site 18","Impala",0,139,"No elephant",0,-1.49336273630299,9.045816261
"Site 18","Bushpig",0,139,"No elephant",0,-1.49336273630299,9.045816261
"Site 18","Greater kudu",11,139,"No elephant",7.9136690647482,-1.49336273630299,9.045816261
"Site 18","Eland",0,139,"No elephant",0,-1.49336273630299,9.045816261
"Site 18","Bushbuck",6,139,"No elephant",4.31654676258993,-1.49336273630299,9.045816261
"Site 18","Warthog",0,139,"No elephant",0,-1.49336273630299,9.045816261
"Site 18","Plains zebra",0,139,"No elephant",0,-1.49336273630299,9.045816261
"Site 19","Warthog",0,89,"No elephant",0,-1.50055617598007,8.679925138
"Site 19","Impala",0,89,"No elephant",0,-1.50055617598007,8.679925138
"Site 19","Bush duiker",1,89,"No elephant",1.12359550561798,-1.50055617598007,8.679925138
"Site 19","Kirk's dik-dik",64,89,"No elephant",71.9101123595506,-1.50055617598007,8.679925138
"Site 19","Giraffe",0,89,"No elephant",0,-1.50055617598007,8.679925138
"Site 19","Greater kudu",3,89,"No elephant",3.37078651685393,-1.50055617598007,8.679925138
"Site 19","Eland",0,89,"No elephant",0,-1.50055617598007,8.679925138
"Site 19","Bushbuck",2,89,"No elephant",2.24719101123596,-1.50055617598007,8.679925138
"Site 19","Klipspringer",0,89,"No elephant",0,-1.50055617598007,8.679925138
"Site 19","Bushpig",0,89,"No elephant",0,-1.50055617598007,8.679925138
"Site 19","Plains zebra",0,89,"No elephant",0,-1.50055617598007,8.679925138
"Site 2","Kirk's dik-dik",7,99,"No elephant",7.07070707070707,0.449454810301486,4.970129368
"Site 2","Bushpig",1,99,"No elephant",1.01010101010101,0.449454810301486,4.970129368
"Site 2","Bushbuck",0,99,"No elephant",0,0.449454810301486,4.970129368
"Site 2","Klipspringer",0,99,"No elephant",0,0.449454810301486,4.970129368
"Site 2","Impala",9,99,"No elephant",9.09090909090909,0.449454810301486,4.970129368
"Site 2","Warthog",0,99,"No elephant",0,0.449454810301486,4.970129368
"Site 2","Bush duiker",0,99,"No elephant",0,0.449454810301486,4.970129368
"Site 2","Plains zebra",0,99,"No elephant",0,0.449454810301486,4.970129368
"Site 2","Giraffe",0,99,"No elephant",0,0.449454810301486,4.970129368
"Site 2","Eland",0,99,"No elephant",0,0.449454810301486,4.970129368
"Site 2","Greater kudu",1,99,"No elephant",1.01010101010101,0.449454810301486,4.970129368
"Site 20","Warthog",0,81,"No elephant",0,-1.50724064982744,7.284772956
"Site 20","Bush duiker",0,81,"No elephant",0,-1.50724064982744,7.284772956
"Site 20","Giraffe",0,81,"No elephant",0,-1.50724064982744,7.284772956
"Site 20","Greater kudu",7,81,"No elephant",8.64197530864197,-1.50724064982744,7.284772956
"Site 20","Eland",0,81,"No elephant",0,-1.50724064982744,7.284772956
"Site 20","Kirk's dik-dik",0,81,"No elephant",0,-1.50724064982744,7.284772956
"Site 20","Klipspringer",2,81,"No elephant",2.46913580246914,-1.50724064982744,7.284772956
"Site 20","Impala",0,81,"No elephant",0,-1.50724064982744,7.284772956
"Site 20","Bushpig",0,81,"No elephant",0,-1.50724064982744,7.284772956
"Site 20","Bushbuck",10,81,"No elephant",12.3456790123457,-1.50724064982744,7.284772956
"Site 20","Plains zebra",0,81,"No elephant",0,-1.50724064982744,7.284772956
"Site 3","Kirk's dik-dik",9,138,"No elephant",6.52173913043478,0.456915238232218,5.798009494
"Site 3","Greater kudu",10,138,"No elephant",7.2463768115942,0.456915238232218,5.798009494
"Site 3","Klipspringer",0,138,"No elephant",0,0.456915238232218,5.798009494
"Site 3","Impala",2,138,"No elephant",1.44927536231884,0.456915238232218,5.798009494
"Site 3","Warthog",0,138,"No elephant",0,0.456915238232218,5.798009494
"Site 3","Bushpig",1,138,"No elephant",0.72463768115942,0.456915238232218,5.798009494
"Site 3","Eland",0,138,"No elephant",0,0.456915238232218,5.798009494
"Site 3","Bushbuck",0,138,"No elephant",0,0.456915238232218,5.798009494
"Site 3","Plains zebra",0,138,"No elephant",0,0.456915238232218,5.798009494
"Site 3","Giraffe",0,138,"No elephant",0,0.456915238232218,5.798009494
